step temp pe ke etotal press
3900 90.003164151129809056 -344.82768536443239782 68.411995739539293027 -276.41568962489310479 295.90779315861590248
4000 105.51107390736650871 -347.62431942577552491 80.199659719789565315 -267.42465970598595959 278.96002007558018931
4100 97.625820284569329033 -345.65281283700062431 74.206026692153216118 -271.4467861448474082 337.32151043442462424
4200 92.76796681477095774 -347.28819738648047633 70.513540388881622789 -276.77465699759886775 294.13888297943259431
4300 92.447941152669812936 -346.68873027725476277 70.270286782870130082 -276.41844349438463269 321.14970026942955883
4400 93.02507866294337191 -344.84685963664151132 70.708972792038252919 -274.1378868446032584 378.6505499954332663
4500 99.746462126905157675 -343.07912207278093319 75.817940473754930508 -267.26118159902603111 426.26451222434940291
4600 101.5504738332600283 -341.79236433718352828 77.189181611033092167 -264.60318272615040769 464.51492472731814587
4700 99.396758250123099288 -344.74279407442145384 75.552128261993772185 -269.19066581242771008 391.04012653915430064
4800 90.106950329594170057 -342.01775828160594983 68.490884294912802943 -273.52687398669314689 431.1762450634328161
4900 95.025166755908131222 -344.58884096234095296 72.229252877578900893 -272.35958808476203785 355.02533701324693993
5000 102.15800876064133718 -348.88320372190759144 77.6509728964354764 -271.23223082547212925 241.99722698394947429
5100 84.793499504954098711 -344.3691562126127792 64.452095452254482666 -279.91706076035831074 338.00953231279976308
5200 87.177633642858793905 -343.74678430351218594 66.264291456952165049 -277.4824928465600351 371.52310535403722724
5300 98.326741594468956009 -347.82878195970158686 74.738801579779249096 -273.08998037992233776 296.82255409516005784
5400 89.516451599467572464 -341.68167812299856223 68.042042334848034102 -273.63963578815054234 465.76514923174744354
5500 98.2917820147831236 -343.55188962771785555 74.712228573829065681 -268.83966105388878987 411.44879506675050607
5600 100.0306637243045742 -342.71413653328392002 76.033963973082265397 -266.68017256020164041 411.92733105072142052
5700 84.926051276154865377 -340.84225079819833581 64.552848923448323148 -276.28940187475001267 432.06500882036806388
5800 91.112767207311861739 -345.66574570713089543 69.255412304590734607 -276.41033340254017503 322.39585006954166602
5900 95.364472912894768797 -346.27930871278675795 72.487161714285917924 -273.79214699850081161 328.64590710743300406
6000 94.529312088397233538 -344.70398099845778006 71.852350490633639879 -272.85163050782415439 384.51606848396505711
6100 93.4659980619823898 -343.49175037019210777 71.044118520891601065 -272.44763184930047828 445.33648416605115017
6200 94.349709158117889274 -341.49494545082080776 71.715833124639189577 -269.7791123261816324 522.25367735410418391
