# Time-averaged data for fix temp_out
# TimeStep c_thermo_temp
36400 96.7257
36500 97.2785
36600 96.0837
36700 98.3234
36800 98.281
36900 94.956
37000 97.3862
37100 97.2343
37200 95.9473
37300 95.1373
37400 95.0604
37500 98.1331
37600 96.5778
37700 98.3254
37800 96.4819
37900 97.6178
38000 96.1617
38100 97.1542
38200 97.0728
38300 98.1983
38400 95.3739
38500 97.41
38600 96.9331
38700 99.4204
38800 96.4324
38900 98.5271
39000 96.9676
39100 94.142
39200 97.8599
39300 96.6162
39400 97.4962
39500 94.2599
39600 95.1549
39700 97.1149
39800 97.674
39900 97.9385
40000 97.0884
40100 96.0747
40200 96.3889
40300 98.0513
40400 96.4008
40500 95.1117
40600 95.8628
40700 99.4594
40800 97.6026
40900 96.2815
41000 95.8289
41100 98.6032
41200 95.371
41300 97.4372
41400 97.2119
41500 96.5217
41600 95.599
41700 92.7578
41800 99.2151
41900 94.8604
42000 95.7846
42100 94.9762
42200 96.1686
42300 98.2846
42400 96.6876
42500 98.1409
42600 97.7298
42700 97.1533
42800 98.2448
42900 98.3352
43000 97.3269
43100 95.2759
43200 98.3001
43300 99.1754
43400 97.1321
43500 98.185
43600 97.2154
43700 96.8299
43800 96.1364
43900 99.0602
44000 94.6993
44100 96.3009
44200 98.4456
44300 96.1457
44400 97.9351
44500 99.5793
44600 96.0744
44700 98.5795
44800 99.455
44900 98.2064
45000 98.3192
45100 97.8652
45200 100.634
45300 98.235
45400 101.39
45500 95.8111
45600 98.3008
45700 98.1189
45800 99.9571
45900 96.1333
46000 97.9987
46100 97.0091
46200 98.0485
46300 93.0425
46400 96.54
46500 95.5642
46600 95.3156
46700 99.2127
46800 96.0144
46900 98.197
47000 98.3914
47100 96.8489
47200 101.583
47300 97.9786
47400 99.9884
47500 99.7145
47600 98.0638
47700 97.7273
47800 98.6657
47900 99.3495
48000 98.762
48100 94.8057
48200 98.6625
48300 98.9256
48400 97.8837
48500 96.1145
48600 98.1248
48700 97.9571
48800 96.4434
48900 96.8041
49000 100.824
49100 96.4072
49200 95.4174
49300 98.0938
49400 95.2031
49500 98.9868
49600 99.4276
49700 98.4459
49800 99.4769
49900 97.4872
50000 97.8326
